epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,179.158,0.87156,0.59241,2.17914,0.99069,0.92308,0.98567,0.71178,0.99229,0.67566,2.63065,0.00191684,0.00191684,0.00191684
44,182.41,0.96653,0.6581,2.07127,0.92147,1,0.99,0.65718,1.16841,0.68975,3.45295,0.00191486,0.00191486,0.00191486
45,185.687,0.90325,0.58634,2.12787,0.91848,1,0.97357,0.68577,1.08056,0.81369,4.3878,0.00191288,0.00191288,0.00191288
46,188.881,0.86784,0.60482,2.08418,0.85328,1,0.93706,0.63986,1.15667,0.82042,2.90102,0.0019109,0.0019109,0.0019109
47,192.152,0.84849,0.5825,1.86798,0.86128,1,0.975,0.70538,1.06637,0.62928,2.73368,0.00190892,0.00190892,0.00190892
48,195.411,0.83592,0.56894,2.02646,0.99131,1,0.995,0.72864,1.05059,0.62195,2.43823,0.00190694,0.00190694,0.00190694
49,198.677,0.87053,0.59271,1.95885,0.98609,1,0.995,0.72926,1.03079,0.6312,2.57765,0.00190496,0.00190496,0.00190496
50,201.947,0.82698,0.57587,1.82305,0.97838,0.92308,0.98188,0.73574,0.95873,0.68257,2.51486,0.00190298,0.00190298,0.00190298
51,205.393,0.84283,0.58855,1.8976,1,0.99162,0.995,0.77808,0.86721,0.65854,2.89892,0.001901,0.001901,0.001901
52,208.643,0.87541,0.60964,2.07033,0.99445,1,0.995,0.67449,0.98289,0.6566,3.3347,0.00189902,0.00189902,0.00189902
53,211.904,0.79822,0.56708,1.94702,0.92006,1,0.99,0.72564,1.06809,0.61554,2.87214,0.00189704,0.00189704,0.00189704
54,215.206,0.89917,0.57975,2.1453,0.97614,0.84615,0.97238,0.70522,1.03517,0.72054,2.60559,0.00189506,0.00189506,0.00189506
55,218.572,0.8304,0.56222,1.99376,0.91707,1,0.99,0.7085,0.97587,0.6782,2.6647,0.00189308,0.00189308,0.00189308
56,222.243,0.83545,0.58037,1.88855,0.92064,0.89378,0.97238,0.71545,0.87691,0.72829,2.94716,0.0018911,0.0018911,0.0018911
57,225.455,0.88504,0.59171,1.92992,0.92202,0.91041,0.97572,0.71755,0.91564,0.69544,2.42734,0.00188912,0.00188912,0.00188912
58,228.593,0.89504,0.57785,1.96716,0.91789,0.92308,0.96325,0.68215,1.12474,0.71327,4.16631,0.00188714,0.00188714,0.00188714
59,231.728,0.84462,0.57841,1.99143,0.77893,0.92308,0.89416,0.591,1.23865,0.89413,3.78521,0.00188516,0.00188516,0.00188516
60,234.828,0.82799,0.56502,1.9483,0.71867,0.84615,0.87953,0.61614,1.1598,0.91651,2.93724,0.00188318,0.00188318,0.00188318
61,238.066,0.82902,0.5563,1.841,0.84511,0.84615,0.91321,0.66223,1.05139,0.83447,2.89498,0.0018812,0.0018812,0.0018812
62,241.197,0.79382,0.56702,1.88923,0.96695,0.84615,0.95289,0.76619,0.94403,0.71367,3.11577,0.00187922,0.00187922,0.00187922
63,244.303,0.78846,0.53756,1.90337,0.92586,1,0.96214,0.72691,0.99489,0.70828,2.77737,0.00187724,0.00187724,0.00187724
64,247.41,0.84965,0.56128,1.986,0.85321,1,0.94333,0.72173,1.02527,0.76468,2.56179,0.00187526,0.00187526,0.00187526
65,250.546,0.85809,0.56678,2.03405,0.90716,1,0.97357,0.73654,0.96918,0.77562,3.69718,0.00187328,0.00187328,0.00187328
66,253.799,0.78125,0.52681,1.93857,0.86119,0.92308,0.96957,0.68387,1.01602,0.83949,4.15162,0.0018713,0.0018713,0.0018713
67,257.069,0.74717,0.54328,1.83591,0.92122,0.9008,0.95468,0.67193,1.08346,0.7616,3.16065,0.00186932,0.00186932,0.00186932
